type,id,name,bf1,bf2,bf3,bf
"dsc","01","PHONE-PORTOP",19472,33835,50224,5
"dsc","02","PHONE-PORTOP",19472,34859,51248,5
"dsc","03","PHONE-PORTOP",19472,35883,52272,5
"dsc","04","PHONE-PORTOP",19472,36907,53296,5
"dsc","05","PHONE-PORTOP",19472,37931,54320,5
"dsc","06","SAFETY",51208,10282,55344,5
"dsc","07","PHONE-PORTOP",19472,39979,56368,5
"dsc","08","SHIP-SHIP",51208,12330,57392,5
"dsc","09","SHIP-SHIP",19464,13354,58416,5
"dsc","10","SHIP-SHIP",52232,14378,59440,5
"dsc","11","PORT%20OPS",52232,15402,60464,5
"dsc","12","PORT%20OPS",52232,16426,61488,5
"dsc","13","SAFETY%20COM",51208,17450,62512,5
"dsc","14","PORT%20OPS",52232,18474,63536,5
"dsc","15","PORT%20OPS",35849,19498,64560,5
"dsc","16","DISTRESS",19464,20522,49,0
"dsc","17","PORT%20OPS",35849,21546,1073,5
"dsc","18","PHONE-PORTOP",19472,51243,2097,0
"dsc","19","PHONE-PORTOP",19472,52267,3121,5
"dsc","20","PHONE-PORTOP",19472,53291,4145,5
"dsc","21","PHONE-PORTOP",19472,54315,5169,5
"dsc","22","PHONE-PORTOP",19472,55339,6193,5
"dsc","23","PHONE-PORTOP",19472,56363,7217,5
"dsc","24","PHONE-PORTOP",19472,57387,8241,5
"dsc","25","PHONE-PORTOP",19472,58411,9265,5
"dsc","26","PHONE-PORTOP",19472,59435,10289,5
"dsc","27","PHONE-PORTOP",19472,60459,11313,5
"dsc","28","PHONE-PORTOP",19472,61483,12337,5
"dsc","60","PHONE-PORTOP",19472,33323,49712,5
"dsc","61","PHONE-PORTOP",19472,34347,50736,5
"dsc","62","PHONE-PORTOP",19472,35371,51760,5
"dsc","63","PHONE-PORTOP",19472,36395,52784,5
"dsc","64","PHONE-PORTOP",19472,37419,53808,5
"dsc","65","PHONE-PORTOP",19472,38443,54832,5
"dsc","66","PHONE-PORTOP",19472,39467,55856,5
"dsc","67","SHIP-SHIP",18440,11818,56880,5
"dsc","68","PORT%20OPS",18440,12842,57904,5
"dsc","69","SHIP-SHIP",19464,13866,58928,5
"dsc","70","DSC",43012,14890,59952,5
"dsc","71","PORT%20OPS",52232,15914,60976,0
"dsc","72","SHIP-SHIP",51208,16938,62000,5
"dsc","73","SHIP-SHIP",19464,17962,63024,5
"dsc","74","PORT%20OPS",52232,18986,64048,4
"dsc","75","PORT%20OPS",35849,20010,65072,5
"dsc","76","PORT%20OPS",35849,21034,561,5
"dsc","77","SHIP-SHIP",51208,22058,1585,4
"dsc","78","PHONE-PORTOP",19472,51755,2609,5
"dsc","79","PHONE-PORTOP",19472,52779,3633,5
"dsc","80","PHONE-PORTOP",19472,53803,4657,5
"dsc","81","PHONE-PORTOP",19472,54827,5681,5
"dsc","82","PHONE-PORTOP",19472,55851,6705,5
"dsc","83","PHONE-PORTOP",19472,56875,7729,5
"dsc","84","PHONE-PORTOP",19472,57899,8753,5
"dsc","85","PHONE-PORTOP",19472,58923,9777,5
"dsc","86","PHONE-PORTOP",19472,59947,10801,5
"dsc","87","PORT%20OPS",18440,32298,11825,5
"dsc","88","PORT%20OPS",18440,33322,12849,0
"atis","01","NAUT.%20INFO",19472,33835,50224,5
"atis","02","NAUT.%20INFO",19472,34859,51248,5
"atis","03","NAUT.%20INFO",19472,35883,52272,5
"atis","04","NAUT.%20INFO",19472,36907,53296,5
"atis","05","NAUT.%20INFO",19472,37931,54320,5
"atis","06","SHIP-SHIP",51208,10282,55344,5
"atis","07","NAUT.%20INFO",19472,39979,56368,5
"atis","08","SHIP-SHIP",51208,12330,57392,5
"atis","09","NAUT.%20INFO",19464,13354,58416,5
"atis","10","SHIP-SHIP",52232,14378,59440,5
"atis","11","SHIP-PORT",52232,15402,60464,5
"atis","12","SHIP-PORT",52232,16426,61488,5
"atis","13","SHIP-SHIP",51208,17450,62512,5
"atis","14","SHIP-PORT",52232,18474,63536,5
"atis","15","%20%20%20%20",35849,19498,64560,5
"atis","16","DISTRESS",19464,20522,49,0
"atis","17","%20%20%20%20",35849,21546,1073,5
"atis","18","NAUT.%20INFO",19472,51243,2097,0
"atis","19","NAUT.%20INFO",19472,52267,3121,5
"atis","20","NAUT.%20INFO",19472,53291,4145,5
"atis","21","NAUT.%20INFO",19472,54315,5169,5
"atis","22","NAUT.%20INFO",19472,55339,6193,5
"atis","23","NAUT.%20INFO",19472,56363,7217,5
"atis","24","NAUT.%20INFO",19472,57387,8241,5
"atis","25","NAUT.%20INFO",19472,58411,9265,5
"atis","26","NAUT.%20INFO",19472,59435,10289,5
"atis","27","NAUT.%20INFO",19472,60459,11313,5
"atis","28","NAUT.%20INFO",19472,61483,12337,5
"atis","60","NAUT.%20INFO",19472,33323,49712,5
"atis","61","NAUT.%20INFO",19472,34347,50736,5
"atis","62","NAUT.%20INFO",19472,35371,51760,5
"atis","63","NAUT.%20INFO",19472,36395,52784,5
"atis","64","NAUT.%20INFO",19472,37419,53808,5
"atis","65","NAUT.%20INFO",19472,38443,54832,5
"atis","66","NAUT.%20INFO",19472,39467,55856,5
"atis","67","NAUT.%20INFO",18440,11818,56880,5
"atis","68","NAUT.%20INFO",18440,12842,57904,5
"atis","69","NAUT.%20INFO",19464,13866,58928,5
"atis","70","DSC",43012,14890,59952,5
"atis","71","SHIP-PORT",52232,15914,60976,0
"atis","72","SHIP-SHIP",51208,16938,62000,5
"atis","73","NAUT.%20INFO",19464,17962,63024,5
"atis","74","SHIP-PORT",52232,18986,64048,4
"atis","75","SHIP-PORT",52232,20010,65072,5
"atis","76","NAUT.%20INFO",52232,21034,561,5
"atis","77","SHIP-SHIP",51208,22058,1585,4
"atis","78","NAUT.%20INFO",19472,51755,2609,5
"atis","79","NAUT.%20INFO",19472,52779,3633,5
"atis","80","NAUT.%20INFO",19472,53803,4657,5
"atis","81","NAUT.%20INFO",19472,54827,5681,5
"atis","82","NAUT.%20INFO",19472,55851,6705,5
"atis","83","NAUT.%20INFO",19472,56875,7729,5
"atis","84","NAUT.%20INFO",19472,57899,8753,5
"atis","85","NAUT.%20INFO",19472,58923,9777,5
"atis","86","NAUT.%20INFO",19472,59947,10801,5
"atis","87","NAUT.%20INFO",18440,32298,11825,5
"atis","88","NAUT.%20INFO",18440,33322,12849,0
